Study,WT_N,WT_R,WT_Event_Rate,Tested_HapB3,Tested_2A,Tested_2846,Tested_13,Untested_Variants,Expected_Misclassified,Pct_of_WT_Arm,Max_Event_Rate_Shift
Boige_2016_FFCD_2000_05,274,112,0.4088,1,1,1,1,None,0.0,0.0,0.0
Boige_2016_PETACC_8,1463,727,0.4969,1,1,1,1,None,0.0,0.0,0.0
Boisdron_Celle_2007,163,9,0.0552,0,1,1,0,HapB3; *13,7.82,4.8,0.008
Botticelli_2017,632,113,0.1788,0,1,0,0,HapB3; c.2846A>T; *13,34.76,5.5,0.0111
Bozina_2021,479,272,0.5678,1,1,1,1,None,0.0,0.0,0.0
Braun_2009,401,192,0.4788,0,1,0,0,HapB3; c.2846A>T; *13,22.05,5.5,0.0111
Cevik_2022,100,24,0.24,1,1,1,1,None,0.0,0.0,0.0
Cremolini_2018,429,215,0.5012,0,1,1,1,HapB3,20.16,4.7,0.0075
Etienne_Grimaldi_2017,241,28,0.1162,1,1,1,1,None,0.0,0.0,0.0
Iachetta_2019,361,141,0.3906,0,1,1,1,HapB3,16.97,4.7,0.0075
Ikonnikova_2024,294,59,0.2007,1,1,0,0,c.2846A>T; *13,2.35,0.8,0.0036
Kleibl_2009,119,71,0.5966,0,1,0,0,HapB3; c.2846A>T; *13,6.54,5.5,0.0111
Largillier_2006,83,14,0.1687,0,1,0,0,HapB3; c.2846A>T; *13,4.57,5.5,0.0111
Lee_2014,2562,835,0.3259,0,1,1,1,HapB3,120.41,4.7,0.0075
Milano_2016,239,28,0.1172,1,1,1,1,None,0.0,0.0,0.0
Morel_2006,300,20,0.0667,0,1,1,1,HapB3,14.1,4.7,0.0075
Onesti_2017,125,27,0.216,0,1,0,0,HapB3; c.2846A>T; *13,6.88,5.5,0.0111
Rosmarin_2015_arm_A,422,126,0.2986,1,1,1,1,None,0.0,0.0,0.0
Rosmarin_2015_arm_B,483,171,0.354,1,1,1,1,None,0.0,0.0,0.0
Salgueiro_2004,72,7,0.0972,0,1,0,0,HapB3; c.2846A>T; *13,3.96,5.5,0.0111
Schwab_2008,670,104,0.1552,0,1,1,0,HapB3; *13,32.16,4.8,0.008
Toffoli_2015,583,92,0.1578,0,1,1,1,HapB3,27.4,4.7,0.0075
