Study,SNP_Used,HapB3_N,HapB3_R,Event_Rate,Expected_Discordant,Best_N,Best_R,Worst_N,Worst_R,LD_Adjustment_Applied
Amstutz_2009,c.1236G>A (tag),7,4,0.571,0.02,7,4,7,4,No (d_i < 0.5)
Boige_2016_FFCD_2000_05,c.1129-5923C>G (causal),26,14,0.538,0.00,26,14,26,14,No (causal SNP)
Boige_2016_PETACC_8,c.1129-5923C>G (causal),53,27,0.509,0.00,53,27,53,27,No (causal SNP)
Bozina_2021,c.1236G>A (tag),22,10,0.455,0.07,22,10,22,10,No (d_i < 0.5)
Cevik_2022,c.1129-5923C>G (causal),3,2,0.667,0.00,3,2,3,2,No (causal SNP)
Falvella_2015,c.1129-5923C>G (causal),3,1,0.333,0.00,3,1,3,1,No (causal SNP)
Froehlich_2015,Both (D'=1 r²=1),23,11,0.478,0.00,23,11,23,11,No (both SNPs confirmed)
Ikonnikova_2024,c.1129-5923C>G (causal),14,3,0.214,0.00,14,3,14,3,No (causal SNP)
Jennings_2013,Both (concordance confirmed),20,6,0.300,0.00,20,6,20,6,No (both SNPs confirmed)
Kleibl_2009,c.1236G>A (incidental),4,2,0.500,0.01,4,2,4,2,No (d_i < 0.5)
Lee_2016,Both (MALDI-TOF complete linkage),78,32,0.410,0.00,78,32,78,32,No (both SNPs confirmed)
Medwid_2023,c.1236G>A (tag per CPIC),41,14,0.341,0.14,40,14,40,13,Yes (scenario A)
Ragia_2023,c.1129-5923C>G (causal),8,2,0.250,0.00,8,2,8,2,No (causal SNP)
Rosmarin_2015_arm_A,c.1236G>A (tag),17,8,0.471,0.06,17,8,17,8,No (d_i < 0.5)
Rosmarin_2015_arm_B,c.1236G>A (tag),18,12,0.667,0.06,18,12,18,12,No (d_i < 0.5)
Wigle_2021,c.1236G>A (tag per CPIC),41,14,0.341,0.14,40,14,40,13,Yes (scenario B)
