"scenario","description","n_studies","n_arms","HapB3_OR","HapB3_CrI_low","HapB3_CrI_high","HapB3_SUCRA","HapB3_rank_preserved","c2846_OR","c2846_CrI_low","c2846_CrI_high","star2A_OR","star13_OR","star13_CrI_low","star13_CrI_high","DIC","max_PSRF","converged","escalated","hapb3_log_or_shift","conclusion"
"primary","Primary model (het_cor, probit)",31,98,2.005,1.294,3.186,74.5,TRUE,8.222,4.502,15.51,6.603,6.735,2.203,24.36,151.492061756836,1.02853591755022,TRUE,FALSE,0,"Reference"
"hom_eqcor","Homogeneous equicorrelation model",31,98,1.867,1.338,2.714,74.4,TRUE,8.384,5.038,14.58,6.838,5.377,1.966,16.63,150.404500085276,1.07061832574591,TRUE,FALSE,0.0713,"Consistent"
"logit_link","Logit link function",31,98,2.036,1.388,3.079,74.6,TRUE,9.094,5.248,15.88,7.21,7.141,2.33,25.07,148.396849193995,1.0136873183717,TRUE,FALSE,0.0153,"Consistent"
"prior_invgamma","Alternative prior (inv-gamma a=0.01)",31,98,1.844,1.338,2.655,74.4,TRUE,8.35,5.043,14.34,6.827,5.298,1.926,16.1,151.621337930258,1.0206951979531,TRUE,FALSE,0.0837,"Consistent"
"het_cor_invgamma","het_cor with inv-gamma prior (a=0.001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Model failed to run"
"informative_prior","Weakly informative prior (inv-gamma a=0.5, b=0.5)",31,98,1.851,1.313,2.686,74.4,TRUE,8.228,4.977,14.29,6.727,5.275,1.963,16.72,150.784957231974,1.00998820796913,TRUE,FALSE,0.0799,"Consistent"
"exclude_sparse_n2","Exclude arms with N <= 2",28,76,1.93,1.249,3.007,65,TRUE,7.493,4.066,14.11,5.527,2.622,0.2187,34.85,124.938506267286,1.16942371898804,FALSE,TRUE,0.0381,"Non-converged (interpret with caution)"
"exclude_sparse_n5","Exclude arms with N <= 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Network disconnected: 13hetho"
"loo_Amstutz_2009","LOO: Exclude Amstutz_2009",30,94,1.926,1.236,3.053,74.8,TRUE,8.145,4.511,15.23,6.828,8.557,2.58,36.18,143.71864809224,1.03794978332667,TRUE,FALSE,0.0402,"Consistent"
"loo_Boige_2016_FFCD_2000_05","LOO: Exclude Boige_2016_FFCD_2000_05",30,94,2.007,1.279,3.189,74.5,TRUE,7.99,4.411,14.98,6.568,6.943,2.247,25.87,146.640942305211,1.04114449254758,TRUE,FALSE,0.001,"Consistent"
"loo_Boige_2016_PETACC_8","LOO: Exclude Boige_2016_PETACC_8",30,93,2.05,1.312,3.298,74.7,TRUE,8.26,4.398,16.12,6.921,9.777,2.695,49.96,144.002587524421,1.01283314809464,TRUE,FALSE,0.0222,"Consistent"
"loo_Boisdron_Celle_2007","LOO: Exclude Boisdron_Celle_2007",30,95,1.939,1.265,3.061,74.5,TRUE,7.77,4.134,15.4,6.583,6.434,2.146,23.44,147.591377628705,1.01501131215082,TRUE,FALSE,0.0335,"Consistent"
"loo_Botticelli_2017","LOO: Exclude Botticelli_2017",30,96,1.988,1.296,3.135,74.5,TRUE,8.159,4.5,15.04,6.327,6.711,2.223,23.95,148.275249532519,1.04294726744393,TRUE,FALSE,0.0085,"Consistent"
"loo_Bozina_2021","LOO: Exclude Bozina_2021",30,93,2.115,1.356,3.375,74.2,TRUE,8.217,4.483,15.59,6.206,6.399,2.057,23.58,143.519716386309,1.02898147892649,TRUE,FALSE,0.0534,"Consistent"
"loo_Braun_2009","LOO: Exclude Braun_2009",30,96,2.06,1.323,3.25,74.5,TRUE,8.311,4.588,15.6,7.127,7.04,2.285,25.5,146.880625296607,1.0238943589479,TRUE,FALSE,0.0271,"Consistent"
"loo_Cevik_2022","LOO: Exclude Cevik_2022",30,95,1.937,1.264,3.054,74.6,TRUE,8.087,4.48,15.21,6.362,6.692,2.214,24.21,147.343004030461,1.02074558596206,TRUE,FALSE,0.0345,"Consistent"
"loo_Cremolini_2018","LOO: Exclude Cremolini_2018",30,95,2.052,1.335,3.239,74.5,TRUE,8.452,4.598,16.12,6.764,7.028,2.296,25.8,147.601495940232,1.01402593505727,TRUE,FALSE,0.0232,"Consistent"
"loo_Etienne_Grimaldi_2017","LOO: Exclude Etienne_Grimaldi_2017",30,94,1.942,1.272,3.057,74.2,TRUE,8.075,4.372,15.49,6.416,5.866,1.867,21.58,147.453884615857,1.02172999675359,TRUE,FALSE,0.0319,"Consistent"
"loo_Falvella_2015","LOO: Exclude Falvella_2015",30,96,2.054,1.336,3.26,74.5,TRUE,8.217,4.602,15.4,6.647,6.871,2.251,25.52,148.577163431473,1.01647981345131,TRUE,FALSE,0.0241,"Consistent"
"loo_Froehlich_2015","LOO: Exclude Froehlich_2015",30,93,1.887,1.217,3.067,74.7,TRUE,9.728,5.292,18.71,7.423,7.631,2.227,34.91,137.17196179391,1.01959002040574,TRUE,FALSE,0.0607,"Consistent"
"loo_Iachetta_2019","LOO: Exclude Iachetta_2019",30,95,2.036,1.325,3.254,73.8,TRUE,7.793,4.296,14.71,6.585,5.711,1.782,20.67,146.663245131963,1.0036853571565,TRUE,FALSE,0.0153,"Consistent"
"loo_Ikonnikova_2024","LOO: Exclude Ikonnikova_2024",30,96,2.109,1.349,3.439,74.4,TRUE,8.19,4.545,15.26,6.548,6.682,2.179,24.28,147.563380614217,1.00927682648428,TRUE,FALSE,0.0506,"Consistent"
"loo_Jennings_2013","LOO: Exclude Jennings_2013",30,94,2.052,1.309,3.323,74.4,TRUE,7.718,4.232,14.42,6.515,6.634,2.162,24.4,145.843622721132,1.04189594471292,TRUE,FALSE,0.0232,"Consistent"
"loo_Kleibl_2009","LOO: Exclude Kleibl_2009",30,95,2.082,1.355,3.277,74.6,TRUE,8.436,4.669,16.07,6.559,7.098,2.37,25.5,147.110903548023,1.01970351126561,TRUE,FALSE,0.0377,"Consistent"
"loo_Largillier_2006","LOO: Exclude Largillier_2006",30,96,1.955,1.277,3.045,74.6,TRUE,8.039,4.509,15.03,6.305,6.59,2.173,23.78,148.586650333336,1.0691575344908,TRUE,FALSE,0.0253,"Consistent"
"loo_Lee_2014","LOO: Exclude Lee_2014",30,95,2.024,1.308,3.206,74.5,TRUE,8.321,4.431,16.24,6.257,6.85,2.26,24.88,147.024256532206,1.01983714411131,TRUE,FALSE,0.0094,"Consistent"
"loo_Lee_2016","LOO: Exclude Lee_2016",30,96,2.047,1.299,3.322,74.5,TRUE,8.224,4.551,15.43,6.622,6.789,2.218,25.19,147.966714341808,1.02312524927417,TRUE,FALSE,0.0207,"Consistent"
"loo_Loganayagam_2013","LOO: Exclude Loganayagam_2013",30,94,1.988,1.295,3.126,74.2,TRUE,8.153,4.393,15.71,6.647,5.988,1.907,22.79,147.567655491944,1.0190004423747,TRUE,FALSE,0.0085,"Consistent"
"loo_Medwid_2023","LOO: Exclude Medwid_2023",30,96,2.066,1.319,3.276,74.5,TRUE,8.185,4.501,15.35,6.573,6.832,2.241,24.91,147.507342100378,1.00803038242462,TRUE,FALSE,0.03,"Consistent"
"loo_Milano_2016","LOO: Exclude Milano_2016",30,95,1.965,1.263,3.169,74.6,TRUE,8.124,4.377,15.35,6.474,6.61,2.185,24.29,147.821693163766,1.03840139826533,TRUE,FALSE,0.0202,"Consistent"
"loo_Morel_2006","LOO: Exclude Morel_2006",30,94,1.948,1.29,3.039,74.1,TRUE,8.294,4.422,16.2,6.464,5.774,1.843,21.44,146.598958529925,1.01591658108647,TRUE,FALSE,0.0288,"Consistent"
"loo_Onesti_2017","LOO: Exclude Onesti_2017",30,96,2.01,1.31,3.171,74.5,TRUE,8.171,4.521,15.21,6.432,6.72,2.229,24.79,148.659011811995,1.02360279935271,TRUE,FALSE,0.0025,"Consistent"
"loo_Ragia_2023","LOO: Exclude Ragia_2023",30,95,2.017,1.291,3.25,74.4,TRUE,8.027,4.436,15.02,6.259,6.496,2.148,23.15,147.229419710804,1.01128457741295,TRUE,FALSE,0.006,"Consistent"
"loo_Salgueiro_2004","LOO: Exclude Salgueiro_2004",30,96,1.983,1.271,3.132,74.6,TRUE,8.079,4.524,15.06,6.323,6.593,2.202,24.1,148.493884561594,1.01482585061738,TRUE,FALSE,0.011,"Consistent"
"loo_Schwab_2008","LOO: Exclude Schwab_2008",30,96,1.978,1.303,3.087,74.6,TRUE,8.217,4.557,15.32,7.036,6.747,2.273,24.76,147.828631992103,1.01762337040916,TRUE,FALSE,0.0136,"Consistent"
"loo_Toffoli_2015","LOO: Exclude Toffoli_2015",30,95,1.969,1.277,3.097,74.5,TRUE,8.4,4.467,16.18,6.507,6.67,2.173,24.77,147.405672822219,1.01648153196782,TRUE,FALSE,0.0181,"Consistent"
"loo_Wigle_2021","LOO: Exclude Wigle_2021",30,96,2.046,1.289,3.271,74.4,TRUE,8.106,4.499,15.09,6.526,6.685,2.189,24.36,148.341292492386,1.08088500287122,TRUE,FALSE,0.0202,"Consistent"
"loo_Rosmarin_2015","LOO: Exclude Rosmarin_2015",29,88,1.909,1.206,3.127,74.5,TRUE,8.192,4.332,15.88,6.885,7.065,2.094,29.86,137.034903237125,1.03133698773308,TRUE,FALSE,0.0491,"Consistent"
