"Parameter","Type","Posterior_Mean","CI_Lower","CI_Upper","Interpretation"
"sigma[1]","Variance (SD)",0.513101454890225,0.398793667298008,0.666184434874593,"Between-study SD for WT"
"sigma[2]","Variance (SD)",0.393399248514502,0.259896455132059,0.592490244141872,"Between-study SD for HapB3"
"sigma[3]","Variance (SD)",0.575373857723188,0.329779146569103,0.965191290233338,"Between-study SD for 2846hetho"
"sigma[4]","Variance (SD)",0.628861883043491,0.374076314287791,1.01244215750764,"Between-study SD for 2Ahetho"
"sigma[5]","Variance (SD)",0.605285826948152,0.313396711392439,1.21516111548194,"Between-study SD for 13hetho"
"R[1,2]","Correlation",0.231871244205308,-0.345753982365664,0.684994912170008,"Correlation: WT vs HapB3"
"R[1,3]","Correlation",0.451482553577237,-0.0393738126151902,0.784800919586829,"Correlation: WT vs 2846hetho"
"R[1,4]","Correlation",0.426734847602632,-0.0342706573876563,0.758157893309037,"Correlation: WT vs 2Ahetho"
"R[1,5]","Correlation",0.0110992750662213,-0.6638755066237,0.650456089453108,"Correlation: WT vs 13hetho"
"R[2,3]","Correlation",0.0968600051849732,-0.469296250822827,0.616461102420807,"Correlation: HapB3 vs 2846hetho"
"R[2,4]","Correlation",0.021277424725034,-0.527248506311604,0.557275816508009,"Correlation: HapB3 vs 2Ahetho"
"R[2,5]","Correlation",-0.0715452014492185,-0.646221163372721,0.544421223658594,"Correlation: HapB3 vs 13hetho"
"R[3,4]","Correlation",0.444274674783201,-0.199603869108264,0.842448189685963,"Correlation: 2846hetho vs 2Ahetho"
"R[3,5]","Correlation",0.0961186935342579,-0.640585200535483,0.763362542324722,"Correlation: 2846hetho vs 13hetho"
"R[4,5]","Correlation",0.178975987506965,-0.589817869887529,0.802893427313681,"Correlation: 2Ahetho vs 13hetho"
