"Parameter","Type","Posterior_Mean","CI_Lower","CI_Upper","Interpretation"
"sigma[1]","Variance (SD)",0.512163456387762,0.397251243893458,0.666299686855335,"Between-study SD for WT"
"sigma[2]","Variance (SD)",0.393171305347918,0.257798362555823,0.593922501631665,"Between-study SD for HapB3"
"sigma[3]","Variance (SD)",0.580286656532168,0.329773680125103,0.987825187861879,"Between-study SD for 2846hetho"
"sigma[4]","Variance (SD)",0.625883244593251,0.373979474651271,1.01022191611268,"Between-study SD for 2Ahetho"
"sigma[5]","Variance (SD)",0.609449678505179,0.316297064706355,1.16501126089366,"Between-study SD for 13hetho"
"R[1,2]","Correlation",0.237484123507085,-0.328025034844833,0.684273080720638,"Correlation: WT vs HapB3"
"R[1,3]","Correlation",0.45199703090424,-0.0401583419701547,0.781361529050682,"Correlation: WT vs 2846hetho"
"R[1,4]","Correlation",0.42516888219659,-0.0390048728350092,0.759693694759632,"Correlation: WT vs 2Ahetho"
"R[1,5]","Correlation",0.0419037042212708,-0.632049637652564,0.666847504488828,"Correlation: WT vs 13hetho"
"R[2,3]","Correlation",0.103630779873668,-0.464094774343574,0.620232507292433,"Correlation: HapB3 vs 2846hetho"
"R[2,4]","Correlation",0.0290496429796839,-0.520143352236728,0.558355515469331,"Correlation: HapB3 vs 2Ahetho"
"R[2,5]","Correlation",-0.0705725521566383,-0.644997138662229,0.532162091564349,"Correlation: HapB3 vs 13hetho"
"R[3,4]","Correlation",0.442645463357556,-0.200981325258363,0.841213804146024,"Correlation: 2846hetho vs 2Ahetho"
"R[3,5]","Correlation",0.130021622506313,-0.611453344573067,0.76916221369364,"Correlation: 2846hetho vs 13hetho"
"R[4,5]","Correlation",0.207996400367202,-0.573169730535233,0.811700942454584,"Correlation: 2Ahetho vs 13hetho"
